나겔	아니, <color=#FF00FF>악마면 거짓으로 말한다는 것</color> 정도는 알려줘야지, 참가자가 지금 죽기 직전까지 갔잖아요.	
나겔	저희가 매주 하는 쇼도 아니고, PD님이 몇 년 만에 만든 거 당신이 망치면 뒷감당은 어떻게 하려고요. 예?	
비델	신입이 말은 되게 많으시네요. 분량 욕심 있으시면 저기 카메라 보고 시청자 분들께 인사라도 하시지.	
나겔	됐으니까, 남은 건 제가 진행하겠습니다. 	
나겔	하아, 설명 다시 해드릴 테니까 저기 저 무대로 가 보세요.	
나겔	기본적인 규칙은 방금 들으신 대로입니다. 칸 밟으셔서 질문 구성하시고, 그 상태로 저에게 오시면 대답해드려요. 듣고 추리하셔서 천국 문 가시면 됩니다.	(퍼즐 화면 입장 시 출력)
나겔	저 같은 <color=#FF00FF>천사는 질문에 참으로 답하지만, 아까 그 악마는 거짓으로 답하니까</color> 주의하시고요.	
나겔	네? 그러면 그냥 악마한테 질문하고 반대로 해석하면 되는 거 아니냐고요?	
나겔	이론 상으로는 맞는데… 그건 다음 무대로 가보시면 압니다. 일단 여기서는 몇 가지만 말씀드릴 게요.	
나겔	첫째, <color=#FF00FF>질문 상자에 등록되는 내용은 덮어 씌워집니다.</color> 내용을 하나씩만 등록할 수 있으니, 같은 색의 다른 칸을 밟으시면 마지막에 밟은 칸의 내용만 남습니다.	
나겔	둘째, <color=#FF00FF>질문 상자가 완성되지 않으면 저에게 오셔도, 아무 일도 발생하지 않습니다.</color> 제가 있는 칸을 지나갈 수는 있지만요.	
나겔	…네, 끝입니다. 이제 해보세요.	
