???	저기요.	
???	저기요? 제 말 들리세요?	
???	이거 왜 눈을 안 뜨냐. 연장 가져와야…어머, 깨셨네.	
???	…	
???	…자! 그러면 몇 년 만에 돌아온 저희 쇼의 317번째 시즌, 저 비델과 함께 지금 시작하겠습니다!	
비델	참가자 분이 아직 잠이 덜 깨셨나 본데, 빠른 진행을 위해 앞쪽의 무대로 들어가시면 천천히 설명해 드리겠습니다!	
비델	질문은 나중에 하고, 생방송이니까 빨리 들어가시라고.	
비델	본격적으로 시작을 해볼 텐데요, 저희 게임 정말 간단합니다. 저기 앞에 문들 보이시죠?	(퍼즐 파트 입장 시 출력)
비델	저 중 딱 하나만 <color=#FF00FF>천국 문</color>이고, 나머지는 <color=#FF00FF>지옥 문</color>입니다. 당연히 천국 문으로 들어가야 되겠죠.	
비델	그런데 정말 아쉽게도, 겉으로만 봐서는 어느 것이 천국 문인지 알 수가 없어요. 구별할 힌트를 얻으려면 저에게 직접 오셔서 <color=#FF00FF>질문</color>을 해 주셔야 합니다.	
비델	일단 제 앞까지 한 번 와 보시겠어요?	
비델	색깔 칸들을 밟으실 때마다 밑에 있는 상자에 그 칸의 내용이 채워졌죠?	(눈알 앞 칸 입장 시 출력)
비델	상자 3개를 모두 채우면, 그 내용들의 조합이 바로 참가자 분이 구성하신 질문입니다. <color=#FF0000>천국 문의 1칸 주변</color>에, <color=#0000FF>특정 색깔</color>이, <color=#00FF00>특정 개수</color>만큼 있냐, 이 뜻이죠.	
비델	지금은 <color=#FF0000>천국 문의 1칸 주변</color>에 <color=#0000FF>적색 칸</color>이 <color=#00FF00>딱 1개</color>가 있냐, 이런 질문을 하실 수 있는 겁니다. 참고로 ‘1칸 주변’이라는 건 대각선 포함이고요!	
비델	이제 저에게 와보세요.	
비델	네, 천국 문의 1칸 주변에, 적색 칸이, 딱 1개가 있습니다. 보이시는 문 중에 그런 경우는 하나밖에 없죠? 거기로 들어가시면 됩니다.	(눈알 칸 입장 시 출력)
나겔	...	(문 칸 입장 시 출력)
비델	… 	
나겔	진짜 미쳤죠.	
비델	으음, 왜 또 그러실까요?	
나겔	겨우 잡아온 인간이 당신 거짓말 때문에 지옥 문을 문지방까지 밟고 있는데, 관리 미숙으로 위쪽에서 책잡히면 저까지 날라가는 거 아니에요.	
비델	다 우리 시청자 분들 위해서 이벤트로 한 거지, 제가 정말로 여기서 끝내겠나요. 나겔님이 신입이셔서 아직 방송 감이 없으신가 보다. 	
나겔	…일단 참가자님? 저기 반대쪽 문으로 가세요.	
